objectid,oceans,measurement,lat,long,year
8966,Atlantic Ocean,0.007,38.5046,16.8681,2014
13712,Atlantic Ocean,0.184805,38.013,12.087667,2020
9553,Atlantic Ocean,0.026,24.7292,-19.2968,2014
21701,Pacific Ocean,0.670134,30.27,121.9,2020
13048,Pacific Ocean,513.0,21.961738,114.021388,2018
9728,Atlantic Ocean,0.063,39.0558,-76.2883,2015
9799,Atlantic Ocean,0.041,27.9146,-64.0454,2016
9135,Atlantic Ocean,0.011,19.225,-31.6067,2014
11720,Pacific Ocean,0.077542,14.5523,160.7231,2012
10194,Pacific Ocean,0.038977,-37.62907,150.40002,2012
11497,Atlantic Ocean,0.064891,-27.8835,-25.8982,2010
14276,Atlantic Ocean,0.0,56.01595,-4.894333,2019
10956,Arctic Ocean,0.008999,74.13776,156.12195,2019
13735,Atlantic Ocean,0.003961,47.481167,-3.081333,2020
13612,Atlantic Ocean,0.021685,51.807883,3.639867,2018
14153,Atlantic Ocean,0.0,58.323833,-6.9505,2018
14399,Atlantic Ocean,0.039852,57.793333,-6.724833,2022
10858,Atlantic Ocean,4.26,39.668,20.019,2014
10415,Atlantic Ocean,0.996134,41.038,17.866833,2013
11079,Atlantic Ocean,4.676409,31.7495,34.5525,2015
21555,Pacific Ocean,0.210968,33.361667,133.643333,2014
11743,Pacific Ocean,0.169271,31.2728,155.3199,2012
13071,Pacific Ocean,847.0,21.935833,113.791195,2018
10317,Atlantic Ocean,0.004222,22.39117,-20.66398,2016
8989,Atlantic Ocean,0.005,27.1,-22.46,2014
9530,Atlantic Ocean,0.01,17.4406,-38.8894,2014
13489,Pacific Ocean,0.048541,11.70965,123.281967,2018
22194,Atlantic Ocean,0.0,27.61,-82.7832,2016
9776,Atlantic Ocean,0.005,17.0115,-61.7824,2016
9112,Atlantic Ocean,0.0,14.1167,-60.9167,2014
8686,Atlantic Ocean,0.012,-54.132,-36.826,2013
10346,Pacific Ocean,0.003016,-53.62655,149.31004,2017
13263,Pacific Ocean,0.004951,-45.15,-73.635,2016
11923,Indian Ocean,0.013055,-36.0524,135.6864,2011
13512,Indian Ocean,0.0,-13.388833,48.170833,2018
10014,Indian Ocean,0.0,-15.4976,49.756,2017
13844,Atlantic Ocean,0.0,48.363,-70.643,2021
21421,Atlantic Ocean,0.335363,42.70145,9.558117,2019
13595,Atlantic Ocean,0.209651,37.011667,-20.895667,2019
11342,Atlantic Ocean,0.805757,36.773149,2.820132,2018
21670,Pacific Ocean,1200.0,21.730098,108.575286,2017
8674,Atlantic Ocean,0.002,39.3513,-76.1448,2013
14591,Atlantic Ocean,1.0,20.533562,-22.547634,2015
9267,Atlantic Ocean,0.011,15.8,-51.1,2014
8935,Atlantic Ocean,0.008,17.2434,-24.7659,2014
10263,Pacific Ocean,0.063437,-16.56171,145.75297,2012
12184,Pacific Ocean,0.78,-1.5,-89.0,2017
12029,Pacific Ocean,0.005581,-10.7735,142.3012,2012
9373,Pacific Ocean,0.002,0.314,-89.9471,2015
13904,Atlantic Ocean,5388.666667,2.413072,-48.616536,2018
11236,Atlantic Ocean,1.490453,42.4907,3.4473,2014
14199,Atlantic Ocean,0.0,55.870833,-4.915833,2018
14236,Atlantic Ocean,0.031501,56.114833,-2.776,2018
9576,Arctic Ocean,0.044,73.6265,-81.3629,2015
9908,Arctic Ocean,0.087,71.8268,-93.6988,2016
14531,Arctic Ocean,83.0,89.66148,52.0587,2016
11033,Atlantic Ocean,9.563492,32.823667,35.035,2014
10904,Atlantic Ocean,0.159524,37.471,25.159,2017
10701,Atlantic Ocean,0.189,37.56,-0.861667,2015
13203,Atlantic Ocean,0.473298,34.4425,-9.997,2014
13689,Atlantic Ocean,0.0,36.6625,-6.763167,2020
13357,Atlantic Ocean,0.058471,36.746667,-7.086667,2017
11248,Atlantic Ocean,0.128726,37.9142,23.62655,2019
9029,Atlantic Ocean,0.012,24.5117,-25.9383,2014
9705,Atlantic Ocean,0.0,30.1455,-15.8551,2015
21515,Pacific Ocean,0.511874,31.0,131.508333,2014
12232,Pacific Ocean,0.9,23.02,175.0,2019
22062,Atlantic Ocean,1000.0,27.9899,-82.6316,2017
13558,Indian Ocean,0.025293,-34.1065,23.215333,2018
11969,Pacific Ocean,0.0,-24.9225,155.1969,2012
14625,Atlantic Ocean,0.5,-15.04753,2.953221,2015
14637,Atlantic Ocean,0.0,-24.163756,8.668449,2015
10309,Indian Ocean,0.005844,-19.80863,115.95553,2012
10300,Indian Ocean,0.047637,-19.42803,115.95395,2012
14293,Atlantic Ocean,0.0,56.1345,-2.743167,2019
13641,Arctic Ocean,0.007412,66.331683,12.380167,2019
12965,Atlantic Ocean,0.402588,35.677333,-27.739887,2020
11296,Atlantic Ocean,0.051692,43.3204,5.3147,2019
14723,Indian Ocean,0.2125,21.4625,91.906944,2019
22202,Atlantic Ocean,2000.0,27.61,-82.7832,2017
8972,Atlantic Ocean,0.007,16.675,-37.515,2014
21870,Indian Ocean,0.0433,9.0765,78.3651,2021
13890,Atlantic Ocean,1573.333333,0.191636,-44.863856,2018
