Entity,Code,Year,Share of waste recycled from total regional waste,Share of waste incinerated from total regional waste,Share of littered and mismanaged from total regional waste,Share of waste landfilled from total regional waste
Europe,,2019,12.384406,37.74739,5.667553,44.200645
India,IND,2000,5.072351,1.6886452,68.140015,25.098991
India,IND,2001,5.5181284,1.8104163,67.02249,25.648989
India,IND,2002,5.967143,1.9341495,65.896065,26.202644
India,IND,2003,6.414317,2.058212,64.76735,26.76012
India,IND,2004,6.862617,2.1836534,63.632145,27.321568
India,IND,2005,7.3041263,2.3092675,62.497868,27.888737
India,IND,2006,7.7485833,2.4366627,61.354866,28.459888
India,IND,2007,8.192793,2.5648549,60.207165,29.035206
India,IND,2008,8.615771,2.6906817,59.074097,29.619452
India,IND,2009,9.048954,2.819237,57.925507,30.2063
India,IND,2010,9.512734,2.9519951,56.745895,30.789373
India,IND,2011,9.96875,3.0845609,55.567894,31.378803
India,IND,2012,10.419898,3.2184002,54.386494,31.975199
India,IND,2013,10.86092,3.3541617,53.20428,32.58064
India,IND,2014,11.294253,3.4897249,52.024284,33.191742
India,IND,2015,11.762998,3.6219814,50.82319,33.79184
India,IND,2016,12.197806,3.757444,49.636204,34.408554
India,IND,2017,12.617458,3.893275,48.452465,35.036797
India,IND,2018,13.01899,4.031769,47.26972,35.67953
India,IND,2019,13.333093,4.1608157,46.214355,36.29173
Middle East & North Africa,,2000,2.8385525,0.40831554,46.085022,50.668125
Middle East & North Africa,,2001,2.9783854,0.40893823,45.760677,50.852
Middle East & North Africa,,2002,3.120995,0.41152158,45.43191,51.035587
Middle East & North Africa,,2003,3.2624445,0.4132549,45.104546,51.21977
Middle East & North Africa,,2004,3.4045367,0.4158622,44.77496,51.40464
Middle East & North Africa,,2005,3.5428393,0.41720885,44.4478,51.59214
Middle East & North Africa,,2006,3.6822584,0.42017192,44.117092,51.780476
Middle East & North Africa,,2007,3.8210428,0.42305285,43.78638,51.969532
Middle East & North Africa,,2008,3.950186,0.42023295,43.467472,52.162098
Middle East & North Africa,,2009,4.083425,0.4205537,43.141823,52.3542
Middle East & North Africa,,2010,4.2234116,0.42449844,42.808033,52.54405
Middle East & North Africa,,2011,4.3600283,0.42627904,42.478146,52.73554
Middle East & North Africa,,2012,4.493245,0.42845225,42.146996,52.931305
Middle East & North Africa,,2013,4.6259875,0.43187827,41.813095,53.12904
Middle East & North Africa,,2014,4.758251,0.43362233,41.482277,53.325848
Middle East & North Africa,,2015,4.9017944,0.43537682,41.147713,53.515106
Middle East & North Africa,,2016,5.042626,0.44025955,40.81038,53.706734
Middle East & North Africa,,2017,5.1716475,0.44278595,40.480946,53.90462
Middle East & North Africa,,2018,5.3062506,0.44417846,40.149452,54.100113
Middle East & North Africa,,2019,5.4478326,0.6075314,39.797066,54.14757
Oceania,,2000,3.8013997,9.345559,11.801067,75.05197
Oceania,,2001,3.9639761,9.463215,11.541275,75.031746
Oceania,,2002,4.1322722,9.582663,11.281355,75.00371
Oceania,,2003,4.2974424,9.702051,11.020874,74.97963
Oceania,,2004,4.4636645,9.822365,10.759826,74.95399
Oceania,,2005,4.620853,9.942406,10.497309,74.939285
Oceania,,2006,4.781365,10.063928,10.234269,74.92044
Oceania,,2007,4.940778,10.185877,9.970468,74.90288
Oceania,,2008,5.0769835,10.305142,9.704555,74.91332
Oceania,,2009,5.225511,10.426499,9.438383,74.90961
Oceania,,2010,5.391036,10.549659,9.172496,74.88691
Oceania,,2011,5.549219,10.6718645,8.904644,74.874275
Oceania,,2012,5.7029896,10.794298,8.634302,74.86841
Oceania,,2013,5.8584156,10.917622,8.362585,74.8613
Oceania,,2014,6.0145235,11.04042,8.089958,74.85518
Oceania,,2015,6.195937,11.162097,7.8174677,74.8245
Oceania,,2016,6.3603725,11.284588,7.5440946,74.81101
Oceania,,2017,6.5187745,11.407856,7.2680383,74.805275
Oceania,,2018,6.6881332,11.530375,6.9919286,74.789566
Oceania,,2019,6.8709826,11.508256,6.7546487,74.86611
Sub-Saharan Africa,,2000,3.0122259,0,69.32282,27.664951
Sub-Saharan Africa,,2001,3.1577353,0,69.03789,27.804375
Sub-Saharan Africa,,2002,3.3036993,0,68.75071,27.945591
Sub-Saharan Africa,,2003,3.4496167,0,68.46405,28.08633
Sub-Saharan Africa,,2004,3.5955374,0,68.17625,28.228214
Sub-Saharan Africa,,2005,3.7399182,0,67.89002,28.37006
Sub-Saharan Africa,,2006,3.8841133,0,67.60213,28.513758
Sub-Saharan Africa,,2007,4.0282083,0,67.31412,28.657686
Sub-Saharan Africa,,2008,4.1703157,0,67.03213,28.797554
Sub-Saharan Africa,,2009,4.3130527,0,66.74668,28.94027
Sub-Saharan Africa,,2010,4.4576178,0,66.45724,29.085146
Sub-Saharan Africa,,2011,4.601472,0,66.16995,29.228577
Sub-Saharan Africa,,2012,4.742198,0,65.88338,29.374424
Sub-Saharan Africa,,2013,4.880434,0,65.59676,29.522799
Sub-Saharan Africa,,2014,5.020707,0,65.31025,29.669046
Sub-Saharan Africa,,2015,5.169435,0,65.01682,29.81374
Sub-Saharan Africa,,2016,5.3148503,0,64.72837,29.956776
Sub-Saharan Africa,,2017,5.4564695,0,64.44149,30.102037
Sub-Saharan Africa,,2018,5.595348,0,64.15522,30.249432
Sub-Saharan Africa,,2019,5.719333,0.50530356,63.60742,30.167953
United States,USA,2000,2.3450744,15.26663,7.9764495,74.41185
United States,USA,2001,2.4553702,15.470107,7.7515783,74.322945
United States,USA,2002,2.5685005,15.676426,7.5254703,74.2296
United States,USA,2003,2.6816757,15.881963,7.299079,74.13729
United States,USA,2004,2.797141,16.088884,7.071456,74.04251
United States,USA,2005,2.9077706,16.295376,6.8430123,73.95384
United States,USA,2006,3.0194216,16.504599,6.613124,73.86286
United States,USA,2007,3.1306255,16.714314,6.382708,73.772354
United States,USA,2008,3.2331533,16.91763,6.1532216,73.696
United States,USA,2009,3.3390625,17.125454,5.922219,73.61326
United States,USA,2010,3.4539638,17.337303,5.6899505,73.51878
United States,USA,2011,3.571022,17.546066,5.457105,73.425804
United States,USA,2012,3.6815884,17.757292,5.222023,73.339096
United States,USA,2013,3.7851892,17.972448,4.98546,73.256905
United States,USA,2014,3.8899853,18.185287,4.749489,73.17524
United States,USA,2015,4.0129786,18.395073,4.513753,73.07819
United States,USA,2016,4.1291475,18.607126,4.2783055,72.98541
United States,USA,2017,4.245349,18.82063,4.0425444,72.89149
United States,USA,2018,4.3634415,19.035501,3.8058374,72.79523
United States,USA,2019,4.4888835,19.078594,3.5525227,72.880005
World,OWID_WRL,2000,3.7033865,10.872603,26.019512,59.4045
World,OWID_WRL,2001,3.9859352,11.335859,26.0388,58.639404
World,OWID_WRL,2002,4.2745633,11.796123,26.058777,57.870537
World,OWID_WRL,2003,4.564884,12.255621,26.044748,57.134747
World,OWID_WRL,2004,4.8600082,12.712106,26.019432,56.40845
World,OWID_WRL,2005,5.150596,13.169611,25.952032,55.727764
World,OWID_WRL,2006,5.4449744,13.623553,25.881449,55.05003
World,OWID_WRL,2007,5.740547,14.075387,25.787539,54.39653
World,OWID_WRL,2008,6.0234685,14.530793,25.611214,53.83452
World,OWID_WRL,2009,6.314106,14.980321,25.449688,53.255886
World,OWID_WRL,2010,6.6227803,15.421235,25.310413,52.645576
World,OWID_WRL,2011,6.935222,15.873149,25.125038,52.06659
World,OWID_WRL,2012,7.238834,16.322397,24.887909,51.550865
World,OWID_WRL,2013,7.5376887,16.779276,24.610676,51.072365
World,OWID_WRL,2014,7.836343,17.219265,24.388899,50.5555
World,OWID_WRL,2015,8.164696,17.625141,24.083096,50.12707
World,OWID_WRL,2016,8.450203,18.084925,23.626896,49.837975
World,OWID_WRL,2017,8.747166,18.57843,23.199598,49.4748
World,OWID_WRL,2018,9.036769,19.0839,22.697952,49.18138
World,OWID_WRL,2019,9.292344,19.048033,22.45448,49.205143
