typeCode,freqCode,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,cmdCode,cmdDesc,isLeaf,customsDesc,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,2023,52,2023,352,ISL,Iceland,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,7113559.749,TRUE,-1,N/A,0,FALSE,7113559.749,TRUE,0,FALSE,,1629065.544,1629065.544,6,FALSE,TRUE
C,A,2023,52,2023,360,IDN,Indonesia,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,252473003,FALSE,8,kg,252473003,FALSE,252473003,FALSE,0,FALSE,101041372,,101041372,0,FALSE,TRUE
C,A,2023,52,2023,360,IDN,Indonesia,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,42926234.788,FALSE,8,kg,42926234.788,FALSE,42926234.788,FALSE,0,FALSE,,32421094.905,32421094.905,0,FALSE,TRUE
C,A,2023,52,2023,372,IRL,Ireland,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,31960332.163,TRUE,-1,N/A,0,FALSE,31960332.163,TRUE,0,FALSE,24341983.038,,24341983.038,6,FALSE,TRUE
C,A,2023,52,2023,372,IRL,Ireland,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,29604400.634,29604400.634,0,FALSE,TRUE
C,A,2023,52,2023,376,ISR,Israel,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,6539818.799,TRUE,-1,N/A,0,FALSE,6539818.799,TRUE,0,FALSE,3390117,,3390117,6,FALSE,TRUE
C,A,2023,52,2023,376,ISR,Israel,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,11185399,11185399,0,FALSE,TRUE
C,A,2023,52,2023,380,ITA,Italy,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,110444937.568,,110444937.568,0,FALSE,TRUE
C,A,2023,52,2023,380,ITA,Italy,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,66799695.156,66799695.156,0,FALSE,TRUE
C,A,2023,52,2023,384,CIV,Côte d'Ivoire,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,22,FALSE,8,kg,22,FALSE,22,FALSE,0,FALSE,326.293,,326.293,0,FALSE,TRUE
